corpus,fixed_fold_mean_point,ci95_low,ci95_high,n_target_folds
CodecFake+,0.13080144405530264,0.08874442904337389,0.17288446496704934,8
asvspoof2019la,0.018547381002926775,0.01069480170720268,0.031328498369156375,8
asvspoof5,0.09659066858751811,0.07115392470100006,0.1350654826702182,8
mlaad,0.08631178068749881,0.04838528484535654,0.12928164153734772,8
