fpr,fnr,threshold
1.0,0.0,0.011271743103861809
0.9875,0.0,0.013277647085487843
0.975,0.0,0.013360654003918171
0.9625,0.0,0.01549368817359209
0.95,0.0,0.015851391479372978
0.9375,0.0,0.016050219535827637
0.925,0.0,0.016124306246638298
0.9125,0.0,0.016762038692831993
0.9,0.0,0.017141196876764297
0.8875,0.0,0.018868394196033478
0.875,0.0,0.027573024854063988
0.8625,0.0,0.029508227482438087
0.85,0.0,0.030813967809081078
0.8375,0.0,0.03161311894655228
0.825,0.0,0.03448920324444771
0.8125,0.0,0.03708285838365555
0.8,0.0,0.03826591745018959
0.7875,0.0,0.042695511132478714
0.775,0.0,0.04462321475148201
0.7625,0.0,0.04503784328699112
0.75,0.0,0.045507173985242844
0.7375,0.0,0.04677347093820572
0.725,0.0,0.04741263762116432
0.7125,0.0,0.04778122529387474
0.7,0.0,0.048739850521087646
0.6875,0.0,0.048754844814538956
0.675,0.0,0.04901120811700821
0.6625,0.0,0.049654461443424225
0.65,0.0,0.05015929788351059
0.6375,0.0,0.050676751881837845
0.625,0.0,0.050746671855449677
0.6125,0.0,0.05160793662071228
0.6,0.0,0.05204983428120613
0.5875,0.0,0.05224277079105377
0.575,0.0,0.0525362566113472
0.5625,0.0,0.05253861844539642
0.55,0.0,0.05275499448180199
0.5375,0.0,0.05419405549764633
0.525,0.0,0.05624958500266075
0.5125,0.0,0.05861837416887283
0.5,0.0,0.05991178750991821
0.4875,0.0,0.0599541999399662
0.475,0.0,0.06341025978326797
0.4625,0.0,0.06503888219594955
0.45,0.0,0.06653431802988052
0.4375,0.0,0.06759314984083176
0.425,0.0,0.06993548572063446
0.4125,0.0,0.07188389450311661
0.4,0.0,0.07278229296207428
0.3875,0.0,0.07399903237819672
0.375,0.0,0.07509587705135345
0.3625,0.0,0.07696623355150223
0.35,0.0,0.07839225232601166
0.3375,0.0,0.07860227674245834
0.325,0.0,0.07908604294061661
0.3125,0.0,0.09917018562555313
0.3,0.0,0.11137223988771439
0.2875,0.0,0.12073293328285217
0.275,0.0,0.12945623695850372
0.2625,0.0,0.12948448956012726
0.25,0.0,0.13119766116142273
0.2375,0.0,0.14134915173053741
0.225,0.0,0.14536920189857483
0.2125,0.0,0.15700599551200867
0.2,0.0,0.1661466509103775
0.1875,0.0,0.17042863368988037
0.175,0.0,0.17075511813163757
0.1625,0.0,0.17172640562057495
0.15,0.0,0.17571675777435303
0.15,0.008333333333333333,0.17692357301712036
0.1375,0.008333333333333333,0.1770291030406952
0.125,0.008333333333333333,0.20612137019634247
0.1125,0.008333333333333333,0.20736780762672424
0.1,0.008333333333333333,0.20785804092884064
0.0875,0.008333333333333333,0.21809785068035126
0.075,0.008333333333333333,0.23109395802021027
0.075,0.016666666666666666,0.24161948263645172
0.0625,0.016666666666666666,0.2739535868167877
0.05,0.016666666666666666,0.31263285875320435
0.0375,0.016666666666666666,0.3358999490737915
0.025,0.016666666666666666,0.37475448846817017
0.0125,0.016666666666666666,0.40792107582092285
0.0125,0.025,0.43110179901123047
0.0125,0.03333333333333333,0.45127347111701965
0.0125,0.041666666666666664,0.506920576095581
0.0,0.041666666666666664,0.5081233382225037
0.0,0.05,0.5340045690536499
0.0,0.058333333333333334,0.5970191955566406
0.0,0.06666666666666667,0.6038953065872192
0.0,0.075,0.6056928634643555
0.0,0.08333333333333333,0.6177657842636108
0.0,0.09166666666666666,0.6570547223091125
0.0,0.1,0.7253608107566833
0.0,0.10833333333333334,0.7331562042236328
0.0,0.11666666666666667,0.7739230990409851
0.0,0.125,0.7779107093811035
0.0,0.13333333333333333,0.7847930788993835
0.0,0.14166666666666666,0.804931104183197
0.0,0.15,0.8199518322944641
0.0,0.15833333333333333,0.822795569896698
0.0,0.16666666666666666,0.8249459266662598
0.0,0.175,0.8280315399169922
0.0,0.18333333333333332,0.8298778533935547
0.0,0.19166666666666668,0.8330659866333008
0.0,0.2,0.8376442193984985
0.0,0.20833333333333334,0.8400270938873291
0.0,0.21666666666666667,0.8411228060722351
0.0,0.225,0.8476268649101257
0.0,0.23333333333333334,0.8487403988838196
0.0,0.24166666666666667,0.8599055409431458
0.0,0.25,0.8624243140220642
0.0,0.25833333333333336,0.862511932849884
0.0,0.26666666666666666,0.8631356954574585
0.0,0.275,0.8685377836227417
0.0,0.2833333333333333,0.8707066178321838
0.0,0.2916666666666667,0.8725490570068359
0.0,0.3,0.8727882504463196
0.0,0.30833333333333335,0.8761876821517944
0.0,0.31666666666666665,0.8773369193077087
0.0,0.325,0.8804559111595154
0.0,0.3333333333333333,0.8807374238967896
0.0,0.3416666666666667,0.8826489448547363
0.0,0.35,0.8831021189689636
0.0,0.35833333333333334,0.8841434717178345
0.0,0.36666666666666664,0.8854656219482422
0.0,0.375,0.8880253434181213
0.0,0.38333333333333336,0.889010488986969
0.0,0.39166666666666666,0.8936911821365356
0.0,0.4,0.896593451499939
0.0,0.4083333333333333,0.8974253535270691
0.0,0.4166666666666667,0.9009763598442078
0.0,0.425,0.9038972854614258
0.0,0.43333333333333335,0.906528651714325
0.0,0.44166666666666665,0.9065887928009033
0.0,0.45,0.9078237414360046
0.0,0.4583333333333333,0.910045862197876
0.0,0.4666666666666667,0.9108004570007324
0.0,0.475,0.9108780026435852
0.0,0.48333333333333334,0.9117395281791687
0.0,0.49166666666666664,0.9128294587135315
0.0,0.5,0.914194643497467
0.0,0.5083333333333333,0.9157562255859375
0.0,0.5166666666666667,0.9161117672920227
0.0,0.525,0.9171675443649292
0.0,0.5333333333333333,0.9174598455429077
0.0,0.5416666666666666,0.9204288125038147
0.0,0.55,0.9254980683326721
0.0,0.5583333333333333,0.9306311011314392
0.0,0.5666666666666667,0.9308016896247864
0.0,0.575,0.9341171979904175
0.0,0.5833333333333334,0.9341946244239807
0.0,0.5916666666666667,0.9380190968513489
0.0,0.6,0.939316987991333
0.0,0.6083333333333333,0.9394308924674988
0.0,0.6166666666666667,0.9398890137672424
0.0,0.625,0.9399051070213318
0.0,0.6333333333333333,0.9403609037399292
0.0,0.6416666666666667,0.9449999928474426
0.0,0.65,0.9452162384986877
0.0,0.6583333333333333,0.9471435546875
0.0,0.6666666666666666,0.9474198818206787
0.0,0.675,0.9514269828796387
0.0,0.6833333333333333,0.9543806314468384
0.0,0.6916666666666667,0.957728922367096
0.0,0.7,0.959448516368866
0.0,0.7083333333333334,0.9621097445487976
0.0,0.7166666666666667,0.9634639620780945
0.0,0.725,0.9653708934783936
0.0,0.7333333333333333,0.9657970666885376
0.0,0.7416666666666667,0.9665310382843018
0.0,0.75,0.9673457741737366
0.0,0.7583333333333333,0.9686087369918823
0.0,0.7666666666666667,0.9689419269561768
0.0,0.775,0.9698857665061951
0.0,0.7833333333333333,0.9700289964675903
0.0,0.7916666666666666,0.9707891941070557
0.0,0.8,0.9712259769439697
0.0,0.8083333333333333,0.9713155031204224
0.0,0.8166666666666667,0.9720433950424194
0.0,0.825,0.9738900661468506
0.0,0.8333333333333334,0.975081741809845
0.0,0.8416666666666667,0.9781656861305237
0.0,0.85,0.98005211353302
0.0,0.8583333333333333,0.9807491302490234
0.0,0.8666666666666667,0.9808310866355896
0.0,0.875,0.9815302491188049
0.0,0.8833333333333333,0.9824575781822205
0.0,0.8916666666666667,0.984616219997406
0.0,0.9,0.9847385883331299
0.0,0.9083333333333333,0.9849346876144409
0.0,0.9166666666666666,0.9859916567802429
0.0,0.925,0.9871302247047424
0.0,0.9333333333333333,0.9921787977218628
0.0,0.9416666666666667,0.993518054485321
0.0,0.95,0.994789719581604
0.0,0.9583333333333334,0.995293915271759
0.0,0.9666666666666667,0.9959791898727417
0.0,0.975,0.9961487054824829
0.0,0.9833333333333333,0.9961732029914856
0.0,0.9916666666666667,0.9983307719230652
