fpr,fnr,threshold
1.0,0.0,0.0034351900685578585
0.9875,0.0,0.0034603357780724764
0.975,0.0,0.0037562132347375154
0.9625,0.0,0.0037834993563592434
0.95,0.0,0.004155515693128109
0.9375,0.0,0.004210180602967739
0.925,0.0,0.004393302369862795
0.9125,0.0,0.004469160921871662
0.9,0.0,0.004530115053057671
0.8875,0.0,0.004786688834428787
0.875,0.0,0.0051969606429338455
0.8625,0.0,0.005388859659433365
0.85,0.0,0.005700948182493448
0.8375,0.0,0.005801189225167036
0.825,0.0,0.006192904897034168
0.8125,0.0,0.006216235458850861
0.8,0.0,0.006281598005443811
0.7875,0.0,0.007561658974736929
0.775,0.0,0.009157547727227211
0.7625,0.0,0.00939515046775341
0.75,0.0,0.010034799575805664
0.7375,0.0,0.010861760005354881
0.725,0.0,0.011292018927633762
0.7125,0.0,0.011455710977315903
0.7,0.0,0.011775673367083073
0.6875,0.0,0.01292134914547205
0.675,0.0,0.014779449440538883
0.6625,0.0,0.01765405386686325
0.65,0.0,0.01853233017027378
0.6375,0.0,0.02511938475072384
0.625,0.0,0.03151680901646614
0.6125,0.0,0.03914317861199379
0.6,0.0,0.03995797783136368
0.5875,0.0,0.04507163539528847
0.575,0.0,0.045531805604696274
0.5625,0.0,0.04583193361759186
0.55,0.0,0.046561118215322495
0.5375,0.0,0.0468900203704834
0.525,0.0,0.04693041369318962
0.5125,0.0,0.04740970581769943
0.5,0.0,0.048498690128326416
0.4875,0.0,0.04912681132555008
0.475,0.0,0.050240177661180496
0.4625,0.0,0.05095599219202995
0.45,0.0,0.05110463127493858
0.4375,0.0,0.051344603300094604
0.425,0.0,0.05135953053832054
0.4125,0.0,0.05156133696436882
0.4,0.0,0.05198974162340164
0.3875,0.0,0.05206109210848808
0.375,0.0,0.052138809114694595
0.3625,0.0,0.0527149960398674
0.35,0.0,0.05275284871459007
0.3375,0.0,0.05283012613654137
0.325,0.0,0.05285506695508957
0.3125,0.0,0.05369829759001732
0.3,0.0,0.054049890488386154
0.2875,0.0,0.054810892790555954
0.275,0.0,0.05494387820363045
0.2625,0.0,0.05504193156957626
0.25,0.0,0.05541057512164116
0.2375,0.0,0.05676719918847084
0.225,0.0,0.058756351470947266
0.2125,0.0,0.05943688750267029
0.2,0.0,0.05984346196055412
0.1875,0.0,0.06017841398715973
0.175,0.0,0.06344927102327347
0.1625,0.0,0.06360508501529694
0.15,0.0,0.06406716257333755
0.1375,0.0,0.06430704891681671
0.125,0.0,0.06526366621255875
0.1125,0.0,0.06566264480352402
0.1,0.0,0.06748413294553757
0.0875,0.0,0.06914347410202026
0.075,0.0,0.06984463334083557
0.0625,0.0,0.07283344864845276
0.05,0.0,0.08019275963306427
0.0375,0.0,0.19195547699928284
0.025,0.0,0.2126368284225464
0.0125,0.0,0.3028215765953064
0.0,0.0,0.5790420770645142
0.0,0.008333333333333333,0.7144164443016052
0.0,0.016666666666666666,0.7801362872123718
0.0,0.025,0.7940200567245483
0.0,0.03333333333333333,0.8089626431465149
0.0,0.041666666666666664,0.8470509648323059
0.0,0.05,0.8734340071678162
0.0,0.058333333333333334,0.9117392301559448
0.0,0.06666666666666667,0.9158968925476074
0.0,0.075,0.9304332137107849
0.0,0.08333333333333333,0.931816816329956
0.0,0.09166666666666666,0.9324352741241455
0.0,0.1,0.934349775314331
0.0,0.10833333333333334,0.9354527592658997
0.0,0.11666666666666667,0.9369539618492126
0.0,0.125,0.9375520348548889
0.0,0.13333333333333333,0.9379801750183105
0.0,0.14166666666666666,0.938524067401886
0.0,0.15,0.9395042657852173
0.0,0.15833333333333333,0.9397928714752197
0.0,0.16666666666666666,0.9425492286682129
0.0,0.175,0.9428184032440186
0.0,0.18333333333333332,0.9455140233039856
0.0,0.19166666666666668,0.9467676877975464
0.0,0.2,0.9472470879554749
0.0,0.20833333333333334,0.9472986459732056
0.0,0.21666666666666667,0.9475754499435425
0.0,0.225,0.9476949572563171
0.0,0.23333333333333334,0.9482109546661377
0.0,0.24166666666666667,0.9490885138511658
0.0,0.25,0.949106752872467
0.0,0.25833333333333336,0.9491833448410034
0.0,0.26666666666666666,0.9494664072990417
0.0,0.275,0.9515135288238525
0.0,0.2833333333333333,0.9517481327056885
0.0,0.2916666666666667,0.9541335701942444
0.0,0.3,0.955205500125885
0.0,0.30833333333333335,0.9562007784843445
0.0,0.31666666666666665,0.9562585353851318
0.0,0.325,0.9568019509315491
0.0,0.3333333333333333,0.9568581581115723
0.0,0.3416666666666667,0.9569405913352966
0.0,0.35,0.957120418548584
0.0,0.35833333333333334,0.9576256275177002
0.0,0.36666666666666664,0.9614273905754089
0.0,0.375,0.9629021286964417
0.0,0.38333333333333336,0.9643176794052124
0.0,0.39166666666666666,0.9648336172103882
0.0,0.4,0.9685088992118835
0.0,0.4083333333333333,0.9738544821739197
0.0,0.4166666666666667,0.9743262529373169
0.0,0.425,0.9748643040657043
0.0,0.43333333333333335,0.9761149883270264
0.0,0.44166666666666665,0.978511393070221
0.0,0.45,0.9792301058769226
0.0,0.4583333333333333,0.9803612232208252
0.0,0.4666666666666667,0.9809649586677551
0.0,0.475,0.9812198877334595
0.0,0.48333333333333334,0.9812349677085876
0.0,0.49166666666666664,0.9824650883674622
0.0,0.5,0.9827296733856201
0.0,0.5083333333333333,0.9829450249671936
0.0,0.5166666666666667,0.9835235476493835
0.0,0.525,0.9841306805610657
0.0,0.5333333333333333,0.9843220114707947
0.0,0.5416666666666666,0.9846595525741577
0.0,0.55,0.985385537147522
0.0,0.5583333333333333,0.986201822757721
0.0,0.5666666666666667,0.9863113760948181
0.0,0.575,0.9869204759597778
0.0,0.5833333333333334,0.986993670463562
0.0,0.5916666666666667,0.9875941872596741
0.0,0.6,0.9876459240913391
0.0,0.6083333333333333,0.9879314303398132
0.0,0.6166666666666667,0.9879443645477295
0.0,0.625,0.9880020618438721
0.0,0.6333333333333333,0.988538384437561
0.0,0.6416666666666667,0.9900036454200745
0.0,0.65,0.9902361035346985
0.0,0.6583333333333333,0.9909881949424744
0.0,0.6666666666666666,0.9919324517250061
0.0,0.675,0.9924426674842834
0.0,0.6833333333333333,0.9924566745758057
0.0,0.6916666666666667,0.9929249286651611
0.0,0.7,0.9939907789230347
0.0,0.7083333333333334,0.9945148229598999
0.0,0.7166666666666667,0.9946994781494141
0.0,0.725,0.9948434829711914
0.0,0.7333333333333333,0.9952972531318665
0.0,0.7416666666666667,0.9953011274337769
0.0,0.75,0.9957079887390137
0.0,0.7583333333333333,0.9959173798561096
0.0,0.7666666666666667,0.996006190776825
0.0,0.775,0.9960480332374573
0.0,0.7833333333333333,0.9961110949516296
0.0,0.7916666666666666,0.9965060949325562
0.0,0.8,0.9967177510261536
0.0,0.8083333333333333,0.9967491626739502
0.0,0.8166666666666667,0.9971277117729187
0.0,0.825,0.9973028898239136
0.0,0.8333333333333334,0.9973502159118652
0.0,0.8416666666666667,0.9975982308387756
0.0,0.85,0.9983036518096924
0.0,0.8583333333333333,0.9983262419700623
0.0,0.8666666666666667,0.9983457326889038
0.0,0.875,0.9983640313148499
0.0,0.8833333333333333,0.9985822439193726
0.0,0.8916666666666667,0.9989107847213745
0.0,0.9,0.9990440011024475
0.0,0.9083333333333333,0.9991163611412048
0.0,0.9166666666666666,0.9991282820701599
0.0,0.925,0.9991955161094666
0.0,0.9333333333333333,0.9992150068283081
0.0,0.9416666666666667,0.9992820620536804
0.0,0.95,0.9994397759437561
0.0,0.9583333333333334,0.9995631575584412
0.0,0.9666666666666667,0.9996656179428101
0.0,0.975,0.9996659755706787
0.0,0.9833333333333333,0.999672532081604
0.0,0.9916666666666667,0.9996877908706665
