fpr,fnr,threshold
1.0,0.0,0.003783508436754346
0.98,0.0,0.004197061061859131
0.96,0.0,0.004326431546360254
0.94,0.0,0.004479857161641121
0.92,0.0,0.005995428655296564
0.9,0.0,0.006114166229963303
0.88,0.0,0.007790349889546633
0.86,0.0,0.007894149981439114
0.84,0.0,0.007981717586517334
0.82,0.0,0.00815597828477621
0.82,0.016666666666666666,0.008373965509235859
0.8,0.016666666666666666,0.008502776734530926
0.78,0.016666666666666666,0.008586864918470383
0.76,0.016666666666666666,0.008740825578570366
0.74,0.016666666666666666,0.009072099812328815
0.72,0.016666666666666666,0.009306143969297409
0.72,0.03333333333333333,0.010787091217935085
0.7,0.03333333333333333,0.01089424267411232
0.68,0.03333333333333333,0.01128305122256279
0.66,0.03333333333333333,0.011342057958245277
0.64,0.03333333333333333,0.012572717852890491
0.62,0.03333333333333333,0.013244505040347576
0.6,0.03333333333333333,0.014572469517588615
0.58,0.03333333333333333,0.014632826671004295
0.56,0.03333333333333333,0.014883233234286308
0.54,0.03333333333333333,0.015937278047204018
0.54,0.05,0.01630914770066738
0.52,0.05,0.016777770593762398
0.5,0.05,0.01722249947488308
0.48,0.05,0.017493775114417076
0.46,0.05,0.017551548779010773
0.44,0.05,0.017791002988815308
0.42,0.05,0.020108284428715706
0.4,0.05,0.02030479907989502
0.4,0.06666666666666667,0.02076350897550583
0.4,0.08333333333333333,0.021207336336374283
0.4,0.1,0.02140177972614765
0.4,0.11666666666666667,0.02164592780172825
0.38,0.11666666666666667,0.022294700145721436
0.38,0.13333333333333333,0.024079469963908195
0.38,0.15,0.025503573939204216
0.36,0.15,0.02589132823050022
0.36,0.16666666666666666,0.02592422440648079
0.36,0.18333333333333332,0.026831427589058876
0.34,0.18333333333333332,0.02710360288619995
0.34,0.2,0.027272844687104225
0.34,0.21666666666666667,0.027865678071975708
0.34,0.23333333333333334,0.02916611172258854
0.32,0.23333333333333334,0.030209362506866455
0.3,0.23333333333333334,0.030295168980956078
0.3,0.25,0.03040715865790844
0.3,0.26666666666666666,0.030474131926894188
0.28,0.26666666666666666,0.030664166435599327
0.26,0.26666666666666666,0.03070184402167797
0.24,0.26666666666666666,0.03094501607120037
0.22,0.26666666666666666,0.032148540019989014
0.22,0.2833333333333333,0.03627139329910278
0.2,0.2833333333333333,0.03668922558426857
0.2,0.3,0.036714114248752594
0.18,0.3,0.03737091273069382
0.16,0.3,0.03864126652479172
0.14,0.3,0.03922602906823158
0.12,0.3,0.04126919433474541
0.12,0.31666666666666665,0.04428038373589516
0.12,0.3333333333333333,0.0461307018995285
0.1,0.3333333333333333,0.048377007246017456
0.1,0.35,0.05260298401117325
0.1,0.36666666666666664,0.05714420601725578
0.1,0.38333333333333336,0.060859695076942444
0.08,0.38333333333333336,0.06715022772550583
0.06,0.38333333333333336,0.06730867922306061
0.06,0.4,0.07802245765924454
0.06,0.4166666666666667,0.07951080799102783
0.06,0.43333333333333335,0.08430071175098419
0.06,0.45,0.0901261419057846
0.04,0.45,0.0988735556602478
0.04,0.4666666666666667,0.12335249781608582
0.04,0.48333333333333334,0.12614315748214722
0.04,0.5,0.16053961217403412
0.04,0.5166666666666667,0.16230395436286926
0.04,0.5333333333333333,0.1730823516845703
0.02,0.5333333333333333,0.18726201355457306
0.02,0.55,0.1999318152666092
0.02,0.5666666666666667,0.22372469305992126
0.02,0.5833333333333334,0.26125919818878174
0.02,0.6,0.27629804611206055
0.02,0.6166666666666667,0.2798842191696167
0.02,0.6333333333333333,0.30616602301597595
0.02,0.65,0.30928200483322144
0.02,0.6666666666666666,0.3985637128353119
0.02,0.6833333333333333,0.40229249000549316
0.02,0.7,0.45111268758773804
0.02,0.7166666666666667,0.4663922190666199
0.02,0.7333333333333333,0.5465719699859619
0.02,0.75,0.6175628304481506
0.02,0.7666666666666667,0.6252038478851318
0.02,0.7833333333333333,0.653750479221344
0.02,0.8,0.7124415040016174
0.02,0.8166666666666667,0.7654187679290771
0.02,0.8333333333333334,0.7686983942985535
0.02,0.85,0.7982692718505859
0.02,0.8666666666666667,0.8269189596176147
0.02,0.8833333333333333,0.8351959586143494
0.0,0.8833333333333333,0.8416094779968262
0.0,0.9,0.8831574320793152
0.0,0.9166666666666666,0.8862492442131042
0.0,0.9333333333333333,0.9001893401145935
0.0,0.95,0.9145865440368652
0.0,0.9666666666666667,0.9292634725570679
0.0,0.9833333333333333,0.9732515811920166
