fpr,fnr,threshold
1.0,0.0,0.0003873647656291723
0.99,0.0,0.0004931102157570422
0.98,0.0,0.0015916137490421534
0.97,0.0,0.0016614175401628017
0.96,0.0,0.001671888050623238
0.95,0.0,0.0016724332235753536
0.94,0.0,0.0016770182410255075
0.93,0.0,0.0023059470113366842
0.92,0.0,0.0025832054670900106
0.91,0.0,0.0027394527569413185
0.9,0.0,0.0027396739460527897
0.89,0.0,0.003671647049486637
0.88,0.0,0.003941934090107679
0.87,0.0,0.0042195855639874935
0.86,0.0,0.004411015659570694
0.85,0.0,0.0046377326361835
0.84,0.0,0.005273433867841959
0.83,0.0,0.006022588815540075
0.82,0.0,0.007046642247587442
0.81,0.0,0.00796093326061964
0.81,0.0033333333333333335,0.007971469312906265
0.8,0.0033333333333333335,0.008933777920901775
0.79,0.0033333333333333335,0.00916577223688364
0.78,0.0033333333333333335,0.009205568581819534
0.77,0.0033333333333333335,0.009280710481107235
0.77,0.006666666666666667,0.009409024380147457
0.76,0.006666666666666667,0.009688600897789001
0.75,0.006666666666666667,0.010008844546973705
0.74,0.006666666666666667,0.01052163727581501
0.73,0.006666666666666667,0.010748702101409435
0.72,0.006666666666666667,0.010762115009129047
0.71,0.006666666666666667,0.011767524294555187
0.7,0.006666666666666667,0.012128337286412716
0.7,0.01,0.012207684107124805
0.69,0.01,0.012801578268408775
0.68,0.01,0.013943163678050041
0.67,0.01,0.016245270147919655
0.66,0.01,0.01714331842958927
0.66,0.013333333333333334,0.018014641478657722
0.66,0.016666666666666666,0.018203526735305786
0.65,0.016666666666666666,0.019158432260155678
0.64,0.016666666666666666,0.019164256751537323
0.64,0.02,0.020265251398086548
0.64,0.023333333333333334,0.020385226234793663
0.64,0.02666666666666667,0.022918587550520897
0.63,0.02666666666666667,0.02296159602701664
0.63,0.03,0.023036453872919083
0.63,0.03333333333333333,0.023108912631869316
0.63,0.03666666666666667,0.02330281212925911
0.62,0.03666666666666667,0.023653918877243996
0.61,0.03666666666666667,0.023860538378357887
0.6,0.03666666666666667,0.02472580038011074
0.6,0.04,0.025563277304172516
0.6,0.043333333333333335,0.029951490461826324
0.59,0.043333333333333335,0.03070654161274433
0.58,0.043333333333333335,0.031088482588529587
0.57,0.043333333333333335,0.031653992831707
0.56,0.043333333333333335,0.03236844390630722
0.55,0.043333333333333335,0.032831382006406784
0.55,0.04666666666666667,0.03325416520237923
0.54,0.04666666666666667,0.03353848680853844
0.54,0.05,0.03539532423019409
0.54,0.05333333333333334,0.035753339529037476
0.53,0.05333333333333334,0.036639899015426636
0.53,0.056666666666666664,0.03709789738059044
0.53,0.06,0.0374939925968647
0.52,0.06,0.03763095289468765
0.52,0.06333333333333334,0.03782050684094429
0.52,0.06666666666666667,0.0383152961730957
0.51,0.06666666666666667,0.039731137454509735
0.51,0.07,0.04709762707352638
0.51,0.07333333333333333,0.04823266714811325
0.51,0.07666666666666666,0.048669662326574326
0.5,0.07666666666666666,0.051294390112161636
0.5,0.08,0.05142335966229439
0.49,0.08,0.055055465549230576
0.48,0.08,0.056418586522340775
0.47,0.08,0.06266511976718903
0.46,0.08,0.06396022439002991
