fpr,fnr,threshold
1.0,0.0,0.0002755616733338684
0.992,0.0,0.0003663362585939467
0.984,0.0,0.00038680940633639693
0.976,0.0,0.0004140229430049658
0.968,0.0,0.00046262890100479126
0.96,0.0,0.0004653962387237698
0.952,0.0,0.0006211684085428715
0.944,0.0,0.0006709576700814068
0.936,0.0,0.0006913599791005254
0.928,0.0,0.0007740846485830843
0.92,0.0,0.0008779132040217519
0.912,0.0,0.0009109375532716513
0.904,0.0,0.0009267640998587012
0.896,0.0,0.0009617149480618536
0.888,0.0,0.00096460449276492
0.88,0.0,0.001106525887735188
0.872,0.0,0.001368874334730208
0.864,0.0,0.001373056322336197
0.856,0.0,0.001491895061917603
0.848,0.0,0.0017032389296218753
0.84,0.0,0.0017954311333596706
0.832,0.0,0.0018048228230327368
0.824,0.0,0.001844419282861054
0.816,0.0,0.0019461431074887514
0.808,0.0,0.001961387926712632
0.8,0.0,0.002092418260872364
0.792,0.0,0.0021436684764921665
0.784,0.0,0.002707687672227621
0.776,0.0,0.0030935187824070454
0.768,0.0,0.003246256848797202
0.76,0.0,0.003343847580254078
0.752,0.0,0.0034003190230578184
0.744,0.0,0.004037517588585615
0.736,0.0,0.004086208064109087
0.728,0.0,0.004302034620195627
0.72,0.0,0.004399459343403578
0.712,0.0,0.004615231417119503
0.704,0.0,0.005422171670943499
0.696,0.0,0.005464053247123957
0.688,0.0,0.005868130829185247
0.68,0.0,0.005929767619818449
0.672,0.0,0.0059431190602481365
0.664,0.0,0.005989984143525362
0.656,0.0,0.005997796542942524
0.648,0.0,0.005999820772558451
0.64,0.0,0.006427030544728041
0.632,0.0,0.006470330525189638
0.624,0.0,0.00668336683884263
0.616,0.0,0.00673714792355895
0.608,0.0,0.006770998705178499
0.6,0.0,0.007733090780675411
0.592,0.0,0.008492447435855865
0.584,0.0,0.008625006303191185
0.576,0.0,0.008689699694514275
0.568,0.0,0.009568442590534687
0.56,0.0,0.009781178086996078
0.552,0.0,0.011204150505363941
0.544,0.0,0.011904685758054256
0.536,0.0,0.012152109295129776
0.528,0.0,0.012833695858716965
0.52,0.0,0.014679130166769028
0.512,0.0,0.01473014336079359
0.504,0.0,0.014882024377584457
0.496,0.0,0.01601848006248474
0.488,0.0,0.0182344987988472
0.48,0.0,0.01899806596338749
0.472,0.0,0.024060068652033806
0.464,0.0,0.02715984545648098
0.456,0.0,0.028286132961511612
0.456,0.005405405405405406,0.028865646570920944
0.448,0.005405405405405406,0.029164167121052742
0.44,0.005405405405405406,0.030798092484474182
0.432,0.005405405405405406,0.03433612734079361
0.424,0.005405405405405406,0.034694887697696686
0.416,0.005405405405405406,0.04040445014834404
0.408,0.005405405405405406,0.042211614549160004
0.4,0.005405405405405406,0.05133696645498276
0.4,0.010810810810810811,0.06686389446258545
0.392,0.010810810810810811,0.07037611305713654
0.384,0.010810810810810811,0.07196667045354843
0.376,0.010810810810810811,0.08290312439203262
0.368,0.010810810810810811,0.09851989895105362
0.36,0.010810810810810811,0.10368311405181885
0.352,0.010810810810810811,0.11270978301763535
0.344,0.010810810810810811,0.12094202637672424
0.344,0.016216216216216217,0.1447889655828476
